,summary,Klima,Anpassung,Sommer,Schule,word
viel+e aktie+n,2.1850103702599637,-0.17891751119031218,-0.13891590410191984,0.1599340907582267,0.0700900723681348,viel+e aktie+n
aktie+n dienstag,2.1639909200757255,-0.16925110161659063,-0.1292494945281982,0.15001672819010056,0.07975648194185646,aktie+n dienstag
erholt,2.1478761013611694,-0.16177643059207664,-0.1217748235036844,0.1422131592903612,0.08723115296637028,erholt
dienstag erhol+t,2.1478761013611694,-0.16177643059207664,-0.1217748235036844,0.1422131592903612,0.08723115296637028,dienstag erhol+t
Turbulenzen,2.1295263724551035,-0.1531965311855107,-0.11319492409711834,0.13310687007767488,0.09581105237293625,Turbulenzen
der turbulenz+en,2.1295263724551035,-0.1531965311855107,-0.11319492409711834,0.13310687007767488,0.09581105237293625,der turbulenz+en
kosten,2.1139349011086397,-0.14584802933595778,-0.10584642224756546,0.12517791378388263,0.10315955422248921,kosten
turbulenz+en kost+en,2.1139349011086397,-0.14584802933595778,-0.10584642224756546,0.12517791378388263,0.10315955422248921,turbulenz+en kost+en
kost+en nvidia,2.105854325542631,-0.14201817670162534,-0.10201656961323297,0.12099714324738786,0.10698940685682173,kost+en nvidia
nvidia fast,2.1127387963925073,-0.14528205011273604,-0.10528044302434364,0.12456218149633268,0.10372553344571081,nvidia fast
600,2.1188691317263997,-0.1481794544690384,-0.10817784738064609,0.1277066348332533,0.10082812908940843,600
fast 600,2.1188691317263997,-0.1481794544690384,-0.10817784738064609,0.1277066348332533,0.10082812908940843,fast 600
600 milliarde+n,2.124058650529034,-0.15062565278149997,-0.11062404569310764,0.1303466795353498,0.09838193077694696,600 milliarde+n
Börsenwert,2.1565422896104702,-0.16580308375241676,-0.1258014766640244,0.14643180113118576,0.08320449980603009,Börsenwert
dollar börse+n+wert,2.1565422896104702,-0.16580308375241676,-0.1258014766640244,0.14643180113118576,0.08320449980603009,dollar börse+n+wert
börse+n+wert nie,2.18273365079586,-0.17787499603405285,-0.1378733889456606,0.15887381821151023,0.07113258752439397,börse+n+wert nie
US-Unternehmen,2.213260110559823,-0.19176352823422063,-0.15176192114582832,0.1728183584920178,0.0572440553242264,US-Unternehmen
